Partlist

Exported from Carte-mere-dashboard v43.sch at 24/06/2026 21:56

EAGLE Version 9.7.0 Copyright (c) 1988-2026 Autodesk, Inc.

Assembly variant: 

Part     Value                        Device                             Package                     Library             Sheet
C77      0.1u                         C_CHIP-0805(2012-METRIC)           C0805                       MAXxx               1
D1       WS2812B                      WS2812B                            WS2812B                     MAXxx               1
D2       WS2812B                      WS2812B                            WS2812B                     MAXxx               1
D3       WS2812B                      WS2812B                            WS2812B                     MAXxx               1
D4       WS2812B                      WS2812B                            WS2812B                     MAXxx               1
D5       WS2812B                      WS2812B                            WS2812B                     MAXxx               1
D6       WS2812B                      WS2812B                            WS2812B                     MAXxx               1
D7       WS2812B                      WS2812B                            WS2812B                     MAXxx               1
D8       WS2812B                      WS2812B                            WS2812B                     MAXxx               1
D9       WS2812B                      WS2812B                            WS2812B                     MAXxx               1
D10      WS2812B                      WS2812B                            WS2812B                     MAXxx               1
D11      DIODEMS2A40LWS               DIODEMS2A40LWS                     MS2A40LWS                   MAXxx               1
D12      DIODEMS2A40LWS               DIODEMS2A40LWS                     MS2A40LWS                   MAXxx               1
D13      DIODEDO-214AC(SMA)           DIODEDO-214AC(SMA)                 DIOM5226X290N               Diode               1
F1       2A 10V                       FUSE_CHIP-1206(3216-METRIC)        FUSC3215X82N                Circuit-Protection  1
FB1      FB_BLM18AG601SN1D_0603(1608) FB_BLM18AG601SN1D_0603(1608)       BEADC1608X95N               Filter              1
FB2      FBCHIP-0805(2012-METRIC)     FBCHIP-0805(2012-METRIC)           BEADC2012X105N              Filter              1
IC1      W25N01GVZEIG                 W25N01GVZEIG                       SON127P800X600X80-9M        MAXxx               1
IC2      DIO5661ST6                   DIO5661ST6                         SOT95P280X125-6M            MAXxx               1
IC3      STM32H743BIT6                STM32H743BIT6                      QFP50P3000X3000X160-208M    MAXxx               1
J1       B3B-XH-A                     B3B-XH-A                           B3B-XH-A                    Connector           1
J2       U.FL-R-SMT-101               U.FL-R-SMT-101                     U.FL-R-SMT-1(XX)            Connector           1
J3       MSD-4-A                      MSD-4-A                            CUI_MSD-4-A                 MAXxx               1
J4       USB4105-GF-A                 USB4105-GF-A                       GCT_USB4105-GF-A            MAXxx               1
J5       XF2M40151A                   XF2M40151A                         OMRON_XF2M40151A            MAXxx               1
JP1                                   PINHD-2X3/90                       2X03/90                     MAXxx               1
L1       1u                           L_CHIP-1008(2520-METRIC)           L1008                       MAXxx               1
L2       10u                          L_CHIP-1008(2520-METRIC)           L1008                       MAXxx               1
L3       NRS4018T220MDGJ              NRS4018T220MDGJ                    NRS4018T220MDGJ             MAXxx               1
L4       27n                          L_CHIP-1008(2520-METRIC)           L1008                       MAXxx               1
Q1       BSS84                        PMOSFET_BSS84_SOT23-GSD            SOT23                       Transistor          1
Q2       NMOSFET                      NMOSFETSOT23-GSD                   SOT23                       Transistor          1
Q3       BC846A                       NPN_BC846A,215_SOT23-BEC           SOT95P237X112-3N            Transistor          1
R1       470                          R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R2       10k                          R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R3       10k                          R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R4       10k                          R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R5       10k                          R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R6       10k                          R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R7       10k                          R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R8       100k                         R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R9       10k                          R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R10      47k                          R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R11      9.5                          R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R12      47k                          R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R13      10k                          R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R14      10k                          R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R15      30k                          R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R16      10k                          R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R17      47k                          R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R18      10k                          R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R19      10k                          R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R20      47k                          R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R21      47k                          R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R22      10k                          R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R23      10k                          R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R24      383                          R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R25      10k                          R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R26      300                          R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R27      1k                           R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R28      5.1k                         R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R29      5.1k                         R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R30      10k                          R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R31      511k                         R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
